Protein; clone 1A; clone 1C; clone 2A; clone 2B; clone 2C; clone 2D; clone 3A; clone 3B
Cluster of Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_07_0840 PE=4 SV=1 (E9ALA1_LEIMU) ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Cluster of Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1500 PE=4 SV=1 (E9ALS3_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_0870 PE=4 SV=1 (E9AR60_LEIMU) ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Cluster of WGS CADB00000000 data_ contig 72 (Fragment) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LmxM_32_3070a_1 PE=4 SV=1 (E8NHN7_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of WGS CADB00000000 data_ contig 84 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LmxM_10_0380_1 PE=4 SV=1 (E8NHQ5_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cofilin-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_0510 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
Conserved TPR domain protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_2740 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Cytochrome c oxidase subunit IV OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_12_0670 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0
D-3-phosphoglycerate dehydrogenase-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_03_0030 PE=3 SV=1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1
D-lactate dehydrogenase-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_2020 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;0 ;0
Dihydroorotate dehydrogenase (fumarate) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0530 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Dipeptidyl peptidase 3 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0960 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Dnaj chaperone-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_0900 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Elongation factor 1-alpha OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_0080 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Elongation factor 2 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_0180 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Elongation factor-1 gamma OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_09_0970 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;0 ;1
Enolase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_14_1160 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Eukaryotic translation initiation factor 5A OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_0720 PE=1 SV=1 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Fructose-bisphosphate aldolase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1260 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1
GDP-mannose pyrophosphorylase OS=Leishmania mexicana OX=5665 GN=exgmp PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Glucose transporter_ lmgt2 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_6290 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Glycosomal phosphoenolpyruvate carboxykinase_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_1805 PE=3 SV=1 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1
GTP-binding nuclear protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_1420 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Heat shock protein 70-related protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_1240 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Heat shock protein 83-1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_0312 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Histone H3 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_10_0870 PE=3 SV=1 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;0
Hydrophilic acylated surface protein a OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_1040 PE=4 SV=1 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0
I/6 autoantigen-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_22_1460 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Kinesin-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0760 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Kinesin-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_0260 PE=3 SV=1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1
Malic enzyme OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_24_0761 PE=3 SV=1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1
Miltefosine transporter beta subunit OS=Leishmania amazonensis OX=5659 PE=3 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1
Mitochondrial processing peptidase alpha subunit_putative (Metallo-peptidase_ clan me_ family m16) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_0870 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;1 ;0
Mitochondrial processing peptidase alpha subunit_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_0340 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;0
