Protein; clone 1A; clone 1C; clone 2A; clone 2B; clone 2C; clone 2D; clone 3A; clone 3B
Putative 60S ribosomal protein L21 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0460 PE=4 SV=1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;0
Putative 60S ribosomal protein L7 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_0180 PE=4 SV=1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;0
Putative ABC transporter OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_11_1270 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative ABC transporter OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_11_1290 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Putative ABC transporter OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_0970 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative adenosine kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_0880 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative adenylate kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_1250 PE=3 SV=1 ;1 ;0 ;0 ;1 ;1 ;1 ;0 ;1
Putative adenylate kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_0110 PE=3 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1
Putative ADP ribosylation factor 3 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_0880 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative ADP-ribosylation factor OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_2790 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative ADP-ribosylation factor-like (Putative small gtpase) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_1380 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;1 ;1
Putative ADP_ATP carrier protein 1_ mitochondrial OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_0200 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative ama1 protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_1420 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1
Putative amino acid permease OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_0670 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative amino acid transporter aATP11 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0350 PE=4 SV=1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0
Putative aminoacylase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1570 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative aminopeptidase (Metallo-peptidase_ clan mf_ family m17) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_11_0630 PE=4 SV=1 ;1 ;1 ;1 ;0 ;0 ;1 ;0 ;1
Putative aminopeptidase P OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_2350 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;1 ;1
Putative arginyl-tRNA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_1310 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative asparagine synthetase a (Putative aspartate--ammonia ligase) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_0830 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Putative aspartyl-tRNA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_0460 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative ATP-binding cassette protein subfamily G_ member 2 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=ABCG2 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative ATP-dependent Clp protease subunit_ heat shock protein 100 (HSP100) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1270 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Putative ATP-dependent DEAD-box RNA helicase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_0370 PE=3 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative ATP-dependent RNA helicase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_0400 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;1 ;1 ;1
Putative ATPase alpha subunit OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0500 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative c2 domain protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0790 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1
Putative calcium channel protein (Putative ion transporter) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_0480 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative calcium motive P-type ATPase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_2080 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative calpain-like cysteine peptidase (Putative cysteine peptidase_ clan ca_ family c2) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_14_0850 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative calpain-like cysteine peptidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0450 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative calpain-like cysteine peptidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1190 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative calpain-like cysteine peptidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1280 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative calpain-like cysteine peptidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1310 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative calpain-like cysteine peptidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0390 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
Putative cAMP-specific phosphodiesterase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0030 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative carboxypeptidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_2540 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative casein kinase I OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_1580 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative casein kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_1010 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative cystathione gamma lyase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_3230 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative cysteine synthase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_3590 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative dual specificity protein phosphatase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_2190 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative dynein heavy chain OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1650 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative dynein heavy chain OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_0980 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative dynein heavy chain OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_1750 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative ecotin OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_0300 PE=4 SV=1 ;1 ;1 ;0 ;1 ;0 ;0 ;1 ;1
Putative ecotin OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_0520 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative ef-hand protein 5 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_09_0900 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1
Putative endoribonuclease L-PSP (Pb5) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_0200 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1
Putative fatty acyl CoA syntetase 1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_01_0470 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1
Putative Gim5A protein (Glycosomal membrane protein) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_3700 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative glucosamine-fructose-6-phosphate aminotransferase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_06_0950 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative glucose-regulated protein 78 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_28_1200 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;1 ;0
Putative glutamine synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_06_0370 PE=3 SV=1 ;0 ;0 ;1 ;0 ;0 ;1 ;0 ;1
Putative glycogen synthase kinase 3 beta OS=Leishmania mexicana OX=5665 GN=GSK3b PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative glycyl tRNA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_3840 PE=4 SV=1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1
Putative GTP-binding protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2200 PE=3 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;0
Putative heat shock protein DNAJ OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_2400 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative heat shock protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_18_1370 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative histidine secretory acid phosphatase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_6480 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative isoleucyl-tRNA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_5620 PE=3 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1
Putative kinesin K39 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_14_1100 PE=3 SV=1 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1
Putative long chain fatty Acyl CoA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_03_0230 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Putative long-chain-fatty-acid-CoA ligase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_01_0490 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Putative long-chain-fatty-acid-CoA ligase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_01_0520 PE=4 SV=1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative major vault protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0060 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;0
Putative membrane-bound acid phosphatase 2 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_2590 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative mitotubule-associated protein Gb4 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_1950 PE=4 SV=1 ;1 ;0 ;0 ;1 ;1 ;0 ;0 ;0
Putative myosin heavy chain OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_3870 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Putative NADP-dependent alcohol dehydrogenase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_0360 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative nucleoside transporter 1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_1230 PE=4 SV=1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;0
Putative nucleoside transporter 1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1940 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative orotidine-5-phosphate decarboxylase/orotate phosphoribosyltransferase (Putative ompdcase-oprtase) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0550 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative oxidoreductase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_4170 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;1
Putative paraflagellar rod protein 1D OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1760 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative paraflagellar rod protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0920 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
Putative peptidase M20/M25/M40 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_32_1610 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative peptidyl dipeptidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_02_0740 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Putative peptidyl-prolyl cis-trans isomerase (Cyclophilin-40) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_4770 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1
Putative phosphatase 2C OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_0380 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative poly-zinc finger protein 2 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1635 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Putative polyubiquitin OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_09_0891 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative proteasome activator protein pa26 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_0750 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Putative proteasome regulatory ATPase subunit 1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_22_0570 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative proteasome regulatory ATPase subunit 2 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1090 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative proteasome regulatory ATPase subunit 5 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_22_0620 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
Putative Qc-SNARE protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_0030 PE=4 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1
Putative rab1 small GTP-binding protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_10_1160 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;0 ;1 ;0
Putative ras-like small GTPases OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0860 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Putative ribosomal protein L1a OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1090 PE=4 SV=1 ;0 ;0 ;0 ;1 ;1 ;1 ;1 ;0
Putative sarcoplasmic reticulum glycoprotein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_19_0280 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative serine/threonine protein kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_0810 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative serine/threonine-protein kinase (Putative protein kinase) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_2340 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative serine/threonine-protein kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2570 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative serine/threonine-protein kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_21_1565 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Putative serine/threonine-protein kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_2960 PE=3 SV=1 ;1 ;1 ;0 ;1 ;0 ;0 ;1 ;1
Putative seryl-tRNA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_11_0100 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative short chain dehydrogenase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_1220 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Putative small GTP-binding protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0030 PE=3 SV=1 ;1 ;0 ;1 ;1 ;0 ;1 ;0 ;1
Putative small GTP-binding protein Rab1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_0760 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative small GTP-binding protein Rab11 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_10_0910 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative small GTP-binding protein Rab28 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_1710 PE=4 SV=1 ;0 ;0 ;0 ;1 ;1 ;0 ;1 ;1
Putative surface antigen (Fragment) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_12_0860 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative surface protein amastin OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_0850 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1
Putative thimet oligopeptidase (Metallo-peptidase_ clan ma(E)_ family m3) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_26_1570 PE=3 SV=1 ;1 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Putative transmembrane amino acid transporter OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_07_1160 PE=4 SV=1 ;0 ;1 ;1 ;0 ;1 ;0 ;0 ;0
Putative trypanothione synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_1870 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1
Putative tyrosine aminotransferase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_2360 PE=4 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative tyrosyl-tRNA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_14_1370 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative ubiquitin hydrolase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_1200 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative ubiquitin-activating enzyme e1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_3060 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative vacuolar-type proton translocating pyrophosphatase 1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_1220 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Putative valyl-tRNA synthetase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_3130 PE=3 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Rab GDP dissociation inhibitor OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2160 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;0 ;1
Receptor-type adenylate cyclase a-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_3180 PE=4 SV=1 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;1
Reticulon-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_2580 PE=4 SV=1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1
Ribonucleoprotein p18_ mitochondrial_putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_0275 PE=4 SV=1 ;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1
Ribosomal protein L15 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_3650 PE=3 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
RNA-binding protein_ putative_ UPB1 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_25_0490 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
S-adenosylmethionine synthase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_3500 PE=3 SV=1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1
S-methyl-5'-thioadenosine phosphorylase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0830 PE=3 SV=1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0
Serine hydroxymethyltransferase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_14_1320 PE=3 SV=1 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;1
Serine/threonine-protein phosphatase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_0100 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Serine/threonine-protein phosphatase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_12_0660 PE=3 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Serine/threonine-protein phosphatase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_33_0780 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Stomatin-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_05_1040 PE=4 SV=1 ;1 ;0 ;1 ;0 ;0 ;0 ;1 ;0
Stress-inducible protein STI1 homolog OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_0070 PE=4 SV=1 ;1 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Succinyl-diaminopimelate desuccinylase-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_2020 PE=4 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Sucrose-phosphate synthase-like protein OS=Leishmania mexicana OX=5665 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Superoxide dismutase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_1820 PE=3 SV=1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
